,total_transactions_other,total_uniqueReceivedFromAddresses_other,total_uniqueSentToAddresses_other,time_avgBetweenReceivedTxn_other,time_avgBetweenTxn_other,time_diffBetweenFirstAndLastSent_other,time_diffBetweenFirstAndLastTxn_other,erc20_uniqueTokenAddressesSent_other,erc20_uniqueTokenAddressesReceived_other,erc20_mostSentTokenAddress_other,erc20_mostReceivedTokenAddress_other,erc20_uniqueUnknownValueTokens_other,erc20_transactionsWithUnknownValueTokens_other,walletAddress,total_transactions_approval,total_etherSent_approval,total_etherReceived_approval,total_etherSentToContract_approval,total_sentTxn_approval,total_receivedTxn_approval,total_sentToContractTxn_approval,total_uniqueReceivedFromAddresses_approval,total_uniqueSentToAddresses_approval,time_avgBetweenTxn_approval,time_diffBetweenFirstAndLastTxn_approval,erc20_uniqueTokenAddressesSent_approval,erc20_uniqueTokenAddressesReceived_approval,erc20_mostSentTokenAddress_approval,erc20_uniqueUnknownValueTokens_approval,erc20_transactionsWithUnknownValueTokens_approval,total_transactions_transfer,total_etherSent_transfer,total_etherReceived_transfer,total_etherSentToContract_transfer,total_sentTxn_transfer,total_receivedTxn_transfer,total_sentToContractTxn_transfer,total_uniqueReceivedFromAddresses_transfer,total_uniqueSentToAddresses_transfer,time_avgBetweenTxn_transfer,time_diffBetweenFirstAndLastTxn_transfer,erc20_uniqueTokenAddressesSent_transfer,erc20_uniqueTokenAddressesReceived_transfer,erc20_mostSentTokenAddress_transfer,erc20_uniqueUnknownValueTokens_transfer,erc20_transactionsWithUnknownValueTokens_transfer,received:minValue,received:maxValue,received:avgValue,sent:minValue,sent:maxValue,sent:avgValue,sentToContract:minValue,sentToContract:maxValue,sentToContract:avgValue,total:transactions,total:etherSent,total:etherReceived,total:etherSentToContract,total:sentTxn,total:receivedTxn,total:sentToContractTxn,total:uniqueReceivedFromAddresses,total:uniqueSentToAddresses,time:avgBetweenSentTxn,time:avgBetweenReceivedTxn,time:avgBetweenTxn,time:diffBetweenFirstAndLastSent,time:diffBetweenFirstAndLastReceived,time:diffBetweenFirstAndLastTxn,Target
0,5.0,0.0,1.0,,14 days 00:10:46.400000,,70 days 00:53:52,1.0,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,1.0,5.0,0x3d56c1734fab2126f3a6a58bcf57c25b1e99372b,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4 days 00:26:06.500000,8 days 00:52:13,2.0,0.0,0xdac17f958d2ee523a2206206994597c13d831ec7,2.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3 days 20:43:04.954545454,84 days 23:47:49,3.0,0.0,0x8355dbe8b0e275abad27eb843f3eaf3fc855e525,3.0,22.0,0.01,1.5607136115149396,0.3309832931117372,0.0,1.5728955538559823,0.0497660523342588,0.0,0.0,0.0,173.0,8.310930739821226,1.9858997586704232,0.0,167.0,6.0,106.0,3.0,40.0,0 days 13:01:21.556886227,11 days 20:08:57.500000,0 days 12:34:15.606936416,90 days 14:47:00,71 days 00:53:45,90 days 14:47:00,0
1,1.0,0.0,1.0,,0 days 00:00:00,,0 days 00:00:00,1.0,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,1.0,1.0,0x3da2e7ed450f747cfaac81c3d32605beb83de70c,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0 days 00:00:00,0 days 00:00:00,1.0,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,1.0,1.0,,,,,,,,,,,,,,,,,0.0,0.3374999999999999,0.0411974086874999,0.0,0.319,0.0183731089151282,0.0,0.0,0.0,63.0,0.8635361190110272,0.6591585389999994,0.0,47.0,16.0,27.0,4.0,21.0,1 days 19:26:18.489361702,5 days 01:27:07.250000,1 days 08:24:23.317460317,85 days 01:36:29,80 days 23:13:56,85 days 01:36:29,0
2,2.0,0.0,1.0,,2 days 00:20:46,,4 days 00:41:32,1.0,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,1.0,2.0,0x3de56d8f088b6767557dde6eb2d83bf74df6bec3,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2 days 20:49:01.333333333,17 days 04:54:08,5.0,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,5.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0 days 22:25:44,7 days 11:25:52,2.0,0.0,0xce3f08e664693ca792cace4af1364d5e220827b2,2.0,8.0,0.0,1.107006705,0.4473584516889972,0.0,1.860854541174097,0.1550383587334068,0.0,0.0,0.0,87.0,10.85268511133848,7.605093678712952,0.0,70.0,17.0,35.0,8.0,19.0,0 days 09:21:26.514285714,4 days 04:20:02,0 days 07:31:44.091954022,27 days 07:00:56,71 days 01:40:34,27 days 07:00:56,0
3,12.0,0.0,1.0,,6 days 17:09:23.166666666,,80 days 13:52:38,1.0,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,1.0,12.0,0x3dadf855b9e30e63bee10ec4d92cbfe789e5f8a8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11 days 04:53:18.285714285,78 days 10:13:08,3.0,0.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17 days 22:08:53,53 days 18:26:39,2.0,0.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2.0,3.0,0.0,0.075,0.0134538330557946,0.0,0.0999999999999999,0.0027940788079339,0.0,0.0,0.0,475.0,1.2405709907226696,0.4170688247296348,0.0,444.0,31.0,289.0,18.0,222.0,0 days 04:58:03.387387387,2 days 03:03:04.096774193,0 days 04:38:36.261052631,91 days 21:37:04,65 days 22:35:07,91 days 21:37:04,0
4,2.0,0.0,1.0,,1 days 09:13:26,,2 days 18:26:52,1.0,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,1.0,2.0,0x3dd387da5b32160f3f4c8fb2ec0adb415cad41f1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10 days 16:07:34.333333333,32 days 00:22:43,3.0,0.0,0x990f341946a3fdb507ae7e52d17851b87168017c,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12 days 12:36:14.666666666,75 days 03:37:28,2.0,0.0,0x4d224452801aced8b2f0aebe155379bb5d594381,2.0,6.0,0.0013960544399184,0.1164,0.0236714262218107,0.0,0.1473424407655269,0.0135862230312462,0.0,0.0,0.0,56.0,0.6113800364060806,0.2603856884399181,0.0,45.0,11.0,16.0,8.0,12.0,1 days 20:48:53.755555555,6 days 22:54:02.272727272,1 days 12:00:43.196428571,84 days 00:40:19,76 days 11:54:25,84 days 00:40:19,0
5,7.0,0.0,2.0,,12 days 23:56:15.285714285,,90 days 23:33:47,2.0,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,2.0,7.0,0x3e27d0cee58273fff8053043963d0c49bf5dfee7,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0 days 07:55:43.751798561,91 days 20:12:43,278.0,0.0,0x1370e3b7aa261dcbe19ee24c456e56ff186aec85,278.0,278.0,,,,,,,,,,,,,,,,,0.0,0.0999999999999999,0.0450519719283352,0.0,0.16,0.0072483065183746,0.0,0.0,0.0,1423.0,9.944676543209976,2.2976505683450954,0.0,1372.0,51.0,692.0,8.0,319.0,0 days 01:36:28.003644314,1 days 19:15:35.745098039,0 days 01:33:00.562895291,91 days 21:52:21,91 days 22:15:23,91 days 21:52:21,0
6,1.0,0.0,1.0,,0 days 00:00:00,,0 days 00:00:00,1.0,0.0,0x8eb3af460d5fa4bd7bb75943afe13971f72f938e,,1.0,1.0,0x3e65bab71107086b76a4c99bc9976f79ae0a2c25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0 days 00:00:00,0 days 00:00:00,1.0,0.0,0x8eb3af460d5fa4bd7bb75943afe13971f72f938e,1.0,1.0,,,,,,,,,,,,,,,,,0.25,0.25,0.25,0.0,0.1999999999999999,0.0499999999999999,0.0,0.0,0.0,5.0,0.1999999999999999,0.25,0.0,4.0,1.0,3.0,1.0,3.0,0 days 00:00:42,0 days 00:00:00,0 days 00:00:33.600000,0 days 00:02:48,0 days 00:00:00,0 days 00:02:48,0
7,4.0,0.0,1.0,,18 days 11:20:12.750000,,73 days 21:20:51,1.0,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,1.0,4.0,0x3e9dd7801a609eb1dc2dd5faa8af8e23598e15ba,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2 days 04:33:46.484848484,72 days 06:34:34,16.0,0.0,0xa4e27ea37d18bb0f483779f9e75a6024efa5e73e,16.0,33.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5 days 17:49:35.636363636,63 days 04:05:32,4.0,3.0,0x6725363e565baa1dda45d492810298ae0b25c4ac,6.0,11.0,0.0,0.2995,0.0523499999999999,0.0,0.305,0.0137143276368026,0.0,0.0,0.0,827.0,11.012605092352509,1.2563999999999993,0.0,803.0,24.0,423.0,9.0,227.0,0 days 02:40:56.074719800,3 days 02:24:49.666666666,0 days 02:36:15.850060459,89 days 17:50:28,74 days 09:55:52,89 days 17:50:28,0
8,15.0,0.0,1.0,,4 days 07:00:38.400000,,64 days 09:09:36,1.0,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,1.0,15.0,0x3ea90cc36023909c7b37be1e20999c88c4ad1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001659384590418,0.01,0.0044640232571649,0.0,0.0088687770165992,0.0007629310264696,0.0,0.0,0.0,147.0,0.1045215506263363,0.0446402325716496,0.0,137.0,10.0,64.0,5.0,31.0,0 days 15:57:44.890510948,6 days 11:17:58.300000,0 days 14:52:35.714285714,91 days 02:51:30,64 days 16:59:43,91 days 02:51:30,0
9,3.0,0.0,1.0,,4 days 00:37:53,,12 days 01:53:39,1.0,0.0,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,1.0,3.0,0x3eb96bd49af2254609fdad3425cbcf0d465aebaa,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8 days 10:56:52.750000,33 days 19:47:31,3.0,0.0,0xf4d2888d29d722226fafa5d9b24f9164c092421e,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0 days 00:00:00,0 days 00:00:00,1.0,0.0,0x3845badade8e6dff049820680d1f14bd3903a5d0,1.0,1.0,0.011,0.0199468428454589,0.0169645618969726,0.0,0.3989999999999999,0.0358359643677724,0.0,0.0,0.0,67.0,2.2935017195374385,0.0508936856909178,0.0,64.0,3.0,30.0,2.0,37.0,1 days 08:48:39.625000,5 days 01:10:22.333333333,1 days 07:20:30.686567164,87 days 11:54:16,15 days 03:31:07,87 days 11:54:16,0
